code_departement,code_commune,nom_commune,piece_bucket,ref_m2,ref_raw,mean_w,n_mut,n_eff,mad_w,p25,p75,surf_med,age_med_j,Loyer,source_level
92,92023,Clamart,5,5319.306925001104,5319.306925001104,5470.06095708942,38,24.110913361101233,1188.7034640510483,4517.537422740853,6029.504100523162,102.0,319,23.4960871813645,commune
92,92024,Clichy,1,6810.534866643995,6810.534866643995,7059.382251599807,154,75.22017575327685,1150.4243491356349,6281.835982122927,8000.0,25.0,682,28.3996909220514,commune
92,92024,Clichy,2,6860.691538722345,6860.691538722345,6887.1491027362335,320,146.06166987171983,1325.0416559666098,6099.65401879885,7774.3180925205,38.0,693,28.3996909220514,commune
92,92024,Clichy,3,7265.625000000005,7265.625000000005,6935.299145214295,268,123.79196938817189,1389.0751101296898,5812.770330994144,7993.98040978297,62.0,693,25.3814656473693,commune
92,92024,Clichy,4,6686.43787102386,6686.43787102386,6486.598839675548,106,53.51068858535798,2228.6080079276417,4665.872399282339,7857.142857142863,86.0,703,25.3814656473693,commune
92,92024,Clichy,5,6559.274387538055,6559.274387538055,6604.5376681305515,20,8.537030706430679,2473.781133191889,4890.731872232585,8428.571428571435,101.0,295,25.3814656473693,commune
92,92025,Colombes,1,6283.67941927419,6283.67941927419,6319.359413904986,84,42.96330953869795,1115.3311327731587,5531.398876462131,7037.386162827705,24.0,708,27.1442568034456,commune
92,92025,Colombes,2,5648.0965547498645,5648.0965547498645,5588.565956400858,214,104.23013043348762,739.9632304567698,4891.2383547052605,6009.953224404757,41.0,697,27.1442568034456,commune
92,92025,Colombes,3,5177.065923050295,5177.065923050295,5297.253267593795,194,101.70898746583309,1025.5541089625794,4491.550374957372,5868.792692888808,62.0,767,21.2319381161233,commune
92,92025,Colombes,4,4939.068493655724,4939.068493655724,5149.752447461945,109,50.883139609288094,1187.2285726555601,4347.831522045075,5934.778511559851,79.0,688,21.2319381161233,commune
92,92026,Courbevoie,1,7635.140352395885,7635.140352395885,7592.5365439314255,198,104.88834685366446,867.7090724477883,6999.999999999999,8122.03812381671,25.0,688,30.5501236784463,commune
92,92026,Courbevoie,2,7082.524964066116,7082.524964066116,6975.30753378295,376,197.7469287260793,1073.2551080778192,6236.556704469338,7730.88480086607,44.0,686,30.5501236784463,commune
92,92026,Courbevoie,3,6676.562500000002,6676.562500000002,6727.048902890362,326,170.40533168201299,1009.348559051012,6037.655913727546,7500.867549822293,66.0,700,25.8778041661191,commune
92,92026,Courbevoie,4,6653.499753432624,6653.499753432624,6553.982757778642,150,79.45262114062466,1219.8239584842313,5830.739765246848,7439.5492849300545,85.0,686,25.8778041661191,commune
92,92026,Courbevoie,5,6866.086930482089,6866.086930482089,6662.706760177441,55,31.047318706142807,1727.549467009212,5467.62835777089,7921.049772158019,103.0,428,25.8778041661191,commune
92,92032,Fontenay-aux-Roses,1,5566.443071610485,5566.443071610485,5667.524551949029,42,25.619489786936477,615.765096956143,5151.115203705357,6008.48550847205,28.0,500,24.3807405611204,commune
92,92032,Fontenay-aux-Roses,2,5134.8305989479395,5134.8305989479395,5413.25686287187,78,39.228915242196535,586.0468506162152,4891.623446518383,5805.945581643999,44.0,604,24.3807405611204,commune
92,92032,Fontenay-aux-Roses,3,4465.116874367012,4465.116874367012,4638.940507778614,94,49.045215258048486,597.6642719637224,4167.00480816741,5000.000000000004,64.0,346,20.1461639688788,commune
92,92032,Fontenay-aux-Roses,4,4530.803486138673,4530.803486138673,4714.782823252811,58,27.402533631174904,527.5851746550734,4212.308064320276,5135.6019359440315,82.0,527,20.1461639688788,commune
92,92032,Fontenay-aux-Roses,5,4008.2650660144564,4008.2650660144564,4247.838384920788,22,11.057401077699842,831.2274454923955,3753.96406880427,4727.41513612374,101.0,336,20.1461639688788,commune
92,92033,Garches,1,6726.980071474836,6726.980071474836,6651.483610324274,44,26.430590436710673,1182.5137135985983,5348.357481589839,7520.000000000003,25.0,945,26.4233669347556,commune
92,92033,Garches,2,5648.0965547498645,5648.0965547498645,6023.022033352415,76,39.14152471131054,728.4027279466158,5324.187330707871,6589.067121331441,48.0,513,26.4233669347556,commune
92,92033,Garches,3,5639.115310444334,5639.115310444334,5778.347920974407,127,70.83719754843136,1147.7734062189697,4905.160919388837,6475.094812113596,70.0,491,22.7595874963663,commune
92,92033,Garches,4,5683.320419714381,5683.320419714381,5883.544038423549,79,39.5923585660337,1141.209849274608,4993.506953324716,6453.0559176737825,90.0,483,22.7595874963663,commune
92,92033,Garches,5,5552.658213432255,5552.658213432255,5650.829692280325,34,18.120338598979515,997.6055601920339,4941.636518730761,6351.234841655811,113.0,337,22.7595874963663,commune
92,92036,Gennevilliers,2,4965.803214254832,4965.803214254832,5098.5826721900785,27,13.040862390477825,565.8140362162133,4733.110075846746,5506.792827768939,46.0,409,27.2180551439443,commune
92,92036,Gennevilliers,3,5128.621302359894,5128.621302359894,5240.3756133027955,48,25.00553302271091,585.0698118818477,4799.474724792474,5561.827412952987,64.0,700,20.3676667602705,commune
92,92036,Gennevilliers,4,5033.788176104521,5033.788176104521,5323.332837043835,23,11.958597244353044,404.56434773894375,4888.049920538472,5742.057746990912,85.0,1046,20.3676667602705,commune
92,92040,Issy-les-Moulineaux,1,7711.6406500573785,7711.6406500573785,7567.939010576105,277,158.45358501936576,1127.4104186742047,6760.1120923525705,8418.640144412435,24.0,347,30.0873345244742,commune
92,92040,Issy-les-Moulineaux,2,7458.054768885622,7458.054768885622,7368.356532449593,433,240.7618840641327,1216.3658216043775,6537.744909680017,8252.473084257274,42.0,471,30.0873345244742,commune
92,92040,Issy-les-Moulineaux,3,7303.616024670423,7303.616024670423,7121.757066833309,368,213.08794207267206,1167.4837055110863,6326.664871561239,8057.086018074924,64.0,476,27.249561583017,commune
92,92040,Issy-les-Moulineaux,4,7736.542238105006,7736.542238105006,7441.95063673428,189,106.16813401274707,1017.1996602967844,6530.689017299892,8207.263330605208,86.0,473,27.249561583017,commune
92,92040,Issy-les-Moulineaux,5,7661.8274770233265,7661.8274770233265,7560.575124442358,62,31.730985524935083,2014.3594250765939,6243.255489321129,8800.867064289028,104.0,533,27.249561583017,commune
92,92035,La Garenne-Colombes,1,7281.946116474891,7281.946116474891,7161.228842640542,59,30.262652871922857,1109.6641317982271,6255.454366957958,7814.771442070623,24.0,759,27.4626203758393,commune
92,92035,La Garenne-Colombes,2,6714.129543949283,6714.129543949283,6747.929763038761,140,71.74745568565253,738.6820720783965,6281.343900703677,7251.471434976911,44.0,772,27.4626203758393,commune
92,92035,La Garenne-Colombes,3,6468.917050422373,6468.917050422373,6344.719363589418,109,54.485948393845774,1059.7183452534578,5680.161651388605,7183.6872819436585,63.0,679,24.9149540927778,commune
92,92035,La Garenne-Colombes,4,7201.34974534344,7201.34974534344,7024.727265120892,65,35.689449816935756,1038.0459051065898,6508.299402017727,7901.5021162503535,84.0,774,24.9149540927778,commune
92,92060,Le Plessis-Robinson,1,6447.530013433748,6447.530013433748,6564.97141526051,70,36.51133799353942,938.2880480517202,5889.221233240244,7240.3757162868205,27.0,350,27.0199038537303,commune
92,92060,Le Plessis-Robinson,2,6154.760554298302,6154.760554298302,6110.802392962992,177,97.06811014841529,668.7661340265574,5531.93800049848,6589.238880453537,43.0,379,27.0199038537303,commune
92,92060,Le Plessis-Robinson,3,5710.961816147629,5710.961816147629,5641.731382841354,278,143.47184614517474,746.7314972437318,5196.647493314955,6214.625310848649,65.0,480,21.6939529277282,commune
92,92060,Le Plessis-Robinson,4,5676.652126663738,5676.652126663738,5519.689133640631,181,96.3911829280763,966.0722263648089,4752.52587014059,6199.211783515759,82.0,465,21.6939529277282,commune
92,92060,Le Plessis-Robinson,5,5067.494555822699,5067.494555822699,5060.131255436639,41,22.208057088386624,1003.1603255700003,4226.983669967272,5514.2857142857165,98.0,476,21.6939529277282,commune
92,92044,Levallois-Perret,1,8415.649747622594,8415.649747622594,8195.020833651392,109,51.70996431196971,1002.9511444444419,7530.597935086233,9000.000000000004,24.0,429,32.3044981579477,commune
92,92044,Levallois-Perret,2,8232.6980813444,8232.6980813444,7992.191011297241,195,91.66457291806921,896.02026107265,7589.427774555267,8719.228061505168,40.0,679,32.3044981579477,commune
92,92044,Levallois-Perret,3,8203.437499999995,8203.437499999995,7938.563285274241,93,44.921448637949666,585.898741256636,7737.298571858793,8558.984375,60.0,417,30.8771769004549,commune
92,92044,Levallois-Perret,4,8417.460089438335,8417.460089438335,8230.155156262037,56,28.75966724241666,893.3484127920284,7638.025609893007,8957.819376798325,82.0,408,30.8771769004549,commune
92,92044,Levallois-Perret,5,8813.575858353077,8813.575858353077,8784.12865752298,35,15.28568470434128,1508.8723232827542,8036.340783011217,9831.296297637276,104.0,701,30.8771769004549,commune
92,92046,Malakoff,1,7089.144622042116,7089.144622042116,6772.9294041158055,69,41.26818147300226,887.8292164673031,5738.114998740219,7351.6805858184125,24.0,302,28.1879348016242,commune
92,92046,Malakoff,2,6783.101255972394,6783.101255972394,6734.487743284862,152,80.63151304172014,1108.368949588218,6031.798520059004,7436.507995015674,37.0,322,28.1879348016242,commune
92,92046,Malakoff,3,6383.903483483693,6383.903483483693,6258.858017432997,120,65.72469351163143,1284.914370127875,5468.0886575561135,7250.566352853634,59.0,486,23.311161079333,commune
92,92046,Malakoff,4,6978.684914351724,6978.684914351724,6794.70289554591,40,20.8632652843306,983.6427459821392,6346.711535929319,7642.1428571428605,81.0,357,23.311161079333,commune
92,92048,Meudon,1,6036.000000000004,6036.000000000004,6262.08439552646,93,46.87433333887671,854.6580074688686,5445.120454504559,6612.458928550434,25.0,343,27.6624593864808,commune
92,92048,Meudon,2,6493.74266479479,6493.74266479479,6572.008210688977,139,74.72245199842692,913.5204759885239,5907.229709872356,7279.415934585014,46.0,560,27.6624593864808,commune
92,92048,Meudon,3,6118.90418895076,6118.90418895076,6021.433711108033,226,117.25673024556197,1231.212340213718,5273.467499737869,6949.345535378467,65.0,493,22.5395230872341,commune
92,92048,Meudon,4,6115.264636515011,6115.264636515011,6164.1509339157465,144,74.48004912413279,1037.208387147084,5439.15865199129,6895.250970094666,90.0,387,22.5395230872341,commune
92,92048,Meudon,5,6464.268440637189,6464.268440637189,6021.076539809102,88,46.27487301574033,986.9914694588391,5140.807828081052,6823.878335603779,104.0,375,22.5395230872341,commune
92,92049,Montrouge,1,7589.334840579804,7589.334840579804,7544.4627650180355,247,137.014727144886,1088.7003866195037,6860.426138371094,8323.653191193256,23.0,309,28.4898180102975,commune
92,92049,Montrouge,2,7104.118256958387,7104.118256958387,7008.749343568927,416,237.68476937769978,1371.0126974917594,6032.15879426964,7932.362345705482,42.0,506,28.4898180102975,commune
92,92049,Montrouge,3,6914.247452576817,6914.247452576817,6812.854772549064,401,228.75844486717077,1384.1071157584404,5958.869200913213,7847.814912281687,62.0,366,25.9035960483708,commune
92,92049,Montrouge,4,6845.238095238097,6845.238095238097,6884.107631483946,164,92.55413119336264,1571.4227537891513,5871.710500245452,7956.113654004709,84.0,350,25.9035960483708,commune
92,92049,Montrouge,5,7350.315023637893,7350.315023637893,7239.548427649374,31,18.07071890595146,900.7725404183268,6441.117973283456,7950.754998271769,106.0,245,25.9035960483708,commune
92,92050,Nanterre,1,6157.327043466343,6157.327043466343,6241.689219130167,60,31.21945788231724,824.1325692386087,5683.470139687727,6713.19684600149,28.0,413,26.3355267676418,commune
92,92050,Nanterre,2,5741.352829452524,5741.352829452524,5848.5148705670745,102,51.990433891528156,734.2351901336028,5246.117978424868,6212.906210224855,42.0,683,26.3355267676418,commune
92,92050,Nanterre,3,5033.404476559176,5033.404476559176,5240.574055784256,135,67.90106561052991,814.4308275956657,4588.698924589564,5784.0636886891225,64.0,687,23.0571489469216,commune
92,92050,Nanterre,4,4908.212384029285,4908.212384029285,5039.237359062244,79,40.29790240944897,936.202232758016,4338.8662680118205,5624.999999999996,81.0,703,23.0571489469216,commune
92,92051,Neuilly-sur-Seine,1,8650.65163079337,8650.65163079337,8387.026487753563,43,22.62828219964484,940.3370701791656,8323.653191193256,9364.109840092417,21.0,735,36.595424060925,commune
92,92051,Neuilly-sur-Seine,2,8095.1396062072,8095.1396062072,7681.223699350001,47,29.39530752995563,1302.138315134614,7083.190084042507,8805.165096693527,45.0,431,36.595424060925,commune
92,92051,Neuilly-sur-Seine,3,8113.938007986483,8113.938007986483,7616.925882549904,24,13.325177038313516,668.7133902994897,7410.395490166696,8435.553162081658,65.0,422,33.6162340246704,commune
92,92051,Neuilly-sur-Seine,4,8511.904761904769,8511.904761904769,7663.246536068208,21,12.966230456068786,1006.049999999993,7470.36506969562,8787.301086470867,84.0,420,33.6162340246704,commune
92,92051,Neuilly-sur-Seine,5,10168.819480881886,10168.819480881886,9468.429980570167,22,11.630271251758346,183.85849059449956,9642.443662101387,10241.526889295836,125.0,729,33.6162340246704,commune
92,92062,Puteaux,1,7798.059084246333,7798.059084246333,7685.516089187584,79,45.09931606387968,1270.2698963674366,6807.111653535569,8639.999999999998,27.0,686,29.5326785726277,commune
92,92062,Puteaux,2,7160.861925675382,7160.861925675382,7145.397540454975,188,103.46569617952977,1332.617229549406,6193.994492672809,8059.699932925757,43.0,704,29.5326785726277,commune
92,92062,Puteaux,3,6727.513019421914,6727.513019421914,6664.055516089469,143,72.62319922976629,1622.9858899045005,5632.824033920429,7788.36215120796,65.0,687,27.1147195588583,commune
92,92062,Puteaux,4,7378.896779773389,7378.896779773389,7125.0039708041595,65,33.67136401720903,1803.085660853946,5873.886411694552,8251.586611205279,85.0,714,27.1147195588583,commune
92,92062,Puteaux,5,6859.46669023198,6859.46669023198,7413.506866983906,24,12.13051628357042,1826.6609798121988,6054.338427364894,8426.46633196221,116.0,679,27.1147195588583,commune
92,92063,Rueil-Malmaison,1,6427.469292102027,6427.469292102027,6463.998937700579,115,61.516336853380366,1135.0064085752292,5656.420322172564,7080.09925264731,28.0,682,27.358981973542,commune
92,92063,Rueil-Malmaison,2,5907.842574183655,5907.842574183655,6035.510996874925,146,74.22977371558349,910.7938285928433,5318.795425815824,6588.715584627065,46.0,679,27.358981973542,commune
92,92063,Rueil-Malmaison,3,5520.596422276041,5520.596422276041,5640.83499394133,292,153.05233644058066,1343.4743563186782,4726.818582200928,6529.864916195276,64.0,702,23.4813005019496,commune
92,92063,Rueil-Malmaison,4,5558.511888769233,5558.511888769233,5879.888859240404,162,86.22783481341042,1404.2822865789212,4870.549563076133,6729.42259145003,82.0,735,23.4813005019496,commune
92,92063,Rueil-Malmaison,5,6092.029814592445,6092.029814592445,6016.765192629966,48,25.36944929201643,1039.768836566569,5390.715342336564,6774.301030187251,102.0,704,23.4813005019496,commune
92,92064,Saint-Cloud,1,7199.999999999996,7199.999999999996,7234.5459098998035,53,33.69539733065661,916.2207875326358,6582.017545168865,7814.771442070623,27.0,484,28.9756713390682,commune
92,92064,Saint-Cloud,2,6802.1193108083535,6802.1193108083535,6849.548871623236,91,53.21306787009909,1347.3278624344362,5893.359117610973,7735.1934683585005,49.0,367,28.9756713390682,commune
92,92064,Saint-Cloud,3,6186.875300826598,6186.875300826598,6407.787296900639,170,91.1307044281436,1161.3132607839975,5620.941090068046,7250.935455838507,65.0,511,25.6044477264762,commune
92,92064,Saint-Cloud,4,6399.807043994271,6399.807043994271,6691.09354894132,116,61.989040207591465,1270.5491453560533,5801.241665571379,7568.438666374931,91.0,329,25.6044477264762,commune
